package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Exception.Lens,CodeGen,483.23,598.576
lens-4.17.1,Control.Exception.Lens,CorePrep,16.6,23.128999999999998
lens-4.17.1,Control.Exception.Lens,CoreTidy,5.39,5.708
lens-4.17.1,Control.Exception.Lens,Desugar,29.26,24.263
lens-4.17.1,Control.Exception.Lens,Parser,12.65,31.521
lens-4.17.1,Control.Exception.Lens,Simplifier,43.13,40.271
lens-4.17.1,Control.Lens,CodeGen,1.52,0.495
lens-4.17.1,Control.Lens,CorePrep,0.39,0.122
lens-4.17.1,Control.Lens,CoreTidy,0.2,0.073
lens-4.17.1,Control.Lens,Desugar,1.14,0.704
lens-4.17.1,Control.Lens,Parser,1.2,4.427
lens-4.17.1,Control.Lens,Simplifier,0.57,0.184
lens-4.17.1,Control.Lens.At,CodeGen,161.17000000000002,219.985
lens-4.17.1,Control.Lens.At,CorePrep,8.48,10.958
lens-4.17.1,Control.Lens.At,CoreTidy,5.27,4.48
lens-4.17.1,Control.Lens.At,Desugar,22.09,24.617
lens-4.17.1,Control.Lens.At,Parser,8.12,21.528
lens-4.17.1,Control.Lens.At,Simplifier,45.65,48.408
lens-4.17.1,Control.Lens.Combinators,CodeGen,1.3,0.525
lens-4.17.1,Control.Lens.Combinators,CorePrep,0.39,0.122
lens-4.17.1,Control.Lens.Combinators,CoreTidy,0.37,0.073
lens-4.17.1,Control.Lens.Combinators,Desugar,1.22,0.62
lens-4.17.1,Control.Lens.Combinators,Parser,1.6,5.517
lens-4.17.1,Control.Lens.Combinators,Simplifier,0.85,0.18
lens-4.17.1,Control.Lens.Cons,CodeGen,121.53999999999999,140.03300000000002
lens-4.17.1,Control.Lens.Cons,CorePrep,5.65,6.3149999999999995
lens-4.17.1,Control.Lens.Cons,CoreTidy,2.8,2.179
lens-4.17.1,Control.Lens.Cons,Desugar,10.9,10.299
lens-4.17.1,Control.Lens.Cons,Parser,6.24,15.321
lens-4.17.1,Control.Lens.Cons,Simplifier,12.31,14.192
lens-4.17.1,Control.Lens.Each,CodeGen,106.67,151.79000000000002
lens-4.17.1,Control.Lens.Each,CorePrep,5.03,8.283000000000001
lens-4.17.1,Control.Lens.Each,CoreTidy,4.56,4.973
lens-4.17.1,Control.Lens.Each,Desugar,84.43,111.624
lens-4.17.1,Control.Lens.Each,Parser,4.37,12.788
lens-4.17.1,Control.Lens.Each,Simplifier,32.69,43.797
lens-4.17.1,Control.Lens.Empty,CodeGen,55.41,60.153999999999996
lens-4.17.1,Control.Lens.Empty,CorePrep,2.87,3.189
lens-4.17.1,Control.Lens.Empty,CoreTidy,1.7,1.437
lens-4.17.1,Control.Lens.Empty,Desugar,12.53,7.417
lens-4.17.1,Control.Lens.Empty,Parser,3.32,8.856
lens-4.17.1,Control.Lens.Empty,Simplifier,7.94,9.888
lens-4.17.1,Control.Lens.Equality,CodeGen,8.95,9.021
lens-4.17.1,Control.Lens.Equality,CorePrep,1.1400000000000001,0.774
lens-4.17.1,Control.Lens.Equality,CoreTidy,0.6,0.439
lens-4.17.1,Control.Lens.Equality,Desugar,2.22,1.299
lens-4.17.1,Control.Lens.Equality,Parser,2.02,5.656
lens-4.17.1,Control.Lens.Equality,Simplifier,4.47,4.388
lens-4.17.1,Control.Lens.Extras,CodeGen,2.58,1.611
lens-4.17.1,Control.Lens.Extras,CorePrep,0.6,0.158
lens-4.17.1,Control.Lens.Extras,CoreTidy,0.22,0.088
lens-4.17.1,Control.Lens.Extras,Desugar,0.46,0.173
lens-4.17.1,Control.Lens.Extras,Parser,0.26,0.449
lens-4.17.1,Control.Lens.Extras,Simplifier,0.56,0.302
lens-4.17.1,Control.Lens.Fold,CodeGen,500.13,644.377
lens-4.17.1,Control.Lens.Fold,CorePrep,23.619999999999997,30.334
lens-4.17.1,Control.Lens.Fold,CoreTidy,8.43,7.632
lens-4.17.1,Control.Lens.Fold,Desugar,34,42.943
lens-4.17.1,Control.Lens.Fold,Parser,18.29,61.08
lens-4.17.1,Control.Lens.Fold,Simplifier,100.57,104.869
lens-4.17.1,Control.Lens.Getter,CodeGen,56.989999999999995,74.106
lens-4.17.1,Control.Lens.Getter,CorePrep,3.67,3.433
lens-4.17.1,Control.Lens.Getter,CoreTidy,0.71,0.699
lens-4.17.1,Control.Lens.Getter,Desugar,9.52,6.829
lens-4.17.1,Control.Lens.Getter,Parser,4.08,13.927
lens-4.17.1,Control.Lens.Getter,Simplifier,4.9,6.66
lens-4.17.1,Control.Lens.Indexed,CodeGen,1631.33,1741.586
lens-4.17.1,Control.Lens.Indexed,CorePrep,80.42,82.175
lens-4.17.1,Control.Lens.Indexed,CoreTidy,48.4,29.377
lens-4.17.1,Control.Lens.Indexed,Desugar,92.61,86.822
lens-4.17.1,Control.Lens.Indexed,Parser,15.09,42.534
lens-4.17.1,Control.Lens.Indexed,Simplifier,390.29,352.936
lens-4.17.1,Control.Lens.Internal,CodeGen,1.26,0.521
lens-4.17.1,Control.Lens.Internal,CorePrep,0.36,0.122
lens-4.17.1,Control.Lens.Internal,CoreTidy,0.19,0.073
lens-4.17.1,Control.Lens.Internal,Desugar,0.9,0.254
lens-4.17.1,Control.Lens.Internal,Parser,1.07,3.909
lens-4.17.1,Control.Lens.Internal,Simplifier,0.38,0.169
lens-4.17.1,Control.Lens.Internal.Bazaar,CodeGen,173.55,217.81900000000002
lens-4.17.1,Control.Lens.Internal.Bazaar,CorePrep,9.52,11.344999999999999
lens-4.17.1,Control.Lens.Internal.Bazaar,CoreTidy,5.74,5.72
lens-4.17.1,Control.Lens.Internal.Bazaar,Desugar,25.94,32.29
lens-4.17.1,Control.Lens.Internal.Bazaar,Parser,5.45,15.69
lens-4.17.1,Control.Lens.Internal.Bazaar,Simplifier,49.28,44.242
lens-4.17.1,Control.Lens.Internal.ByteString,CodeGen,51.25,70.963
lens-4.17.1,Control.Lens.Internal.ByteString,CorePrep,2.29,2.5679999999999996
lens-4.17.1,Control.Lens.Internal.ByteString,CoreTidy,1.05,0.852
lens-4.17.1,Control.Lens.Internal.ByteString,Desugar,18.1,25.633
lens-4.17.1,Control.Lens.Internal.ByteString,Parser,4.87,12.835
lens-4.17.1,Control.Lens.Internal.ByteString,Simplifier,13.27,15.417
lens-4.17.1,Control.Lens.Internal.CTypes,CodeGen,1.6,0.5720000000000001
lens-4.17.1,Control.Lens.Internal.CTypes,CorePrep,0.43,0.122
lens-4.17.1,Control.Lens.Internal.CTypes,CoreTidy,6.64,2.476
lens-4.17.1,Control.Lens.Internal.CTypes,Desugar,0.66,0.114
lens-4.17.1,Control.Lens.Internal.CTypes,Parser,0.16,0.425
lens-4.17.1,Control.Lens.Internal.CTypes,Simplifier,0.49,0.168
lens-4.17.1,Control.Lens.Internal.Coerce,CodeGen,3.17,1.6749999999999998
lens-4.17.1,Control.Lens.Internal.Coerce,CorePrep,0.47,0.172
lens-4.17.1,Control.Lens.Internal.Coerce,CoreTidy,0.22,0.104
lens-4.17.1,Control.Lens.Internal.Coerce,Desugar,1.19,0.392
lens-4.17.1,Control.Lens.Internal.Coerce,Parser,1.47,4.028
lens-4.17.1,Control.Lens.Internal.Coerce,Simplifier,0.68,0.384
lens-4.17.1,Control.Lens.Internal.Context,CodeGen,173.01,222.026
lens-4.17.1,Control.Lens.Internal.Context,CorePrep,9.87,12.214
lens-4.17.1,Control.Lens.Internal.Context,CoreTidy,5.54,4.935
lens-4.17.1,Control.Lens.Internal.Context,Desugar,30.15,38.553
lens-4.17.1,Control.Lens.Internal.Context,Parser,5.98,17.473
lens-4.17.1,Control.Lens.Internal.Context,Simplifier,58.82,55.152
lens-4.17.1,Control.Lens.Internal.Deque,CodeGen,165.49,216.715
lens-4.17.1,Control.Lens.Internal.Deque,CorePrep,5.1899999999999995,7.38
lens-4.17.1,Control.Lens.Internal.Deque,CoreTidy,3.19,2.79
lens-4.17.1,Control.Lens.Internal.Deque,Desugar,10.98,12.027
lens-4.17.1,Control.Lens.Internal.Deque,Parser,4.38,11.048
lens-4.17.1,Control.Lens.Internal.Deque,Simplifier,27.15,32.565
lens-4.17.1,Control.Lens.Internal.Exception,CodeGen,42.75,52.650000000000006
lens-4.17.1,Control.Lens.Internal.Exception,CorePrep,2.39,2.3339999999999996
lens-4.17.1,Control.Lens.Internal.Exception,CoreTidy,1.24,0.876
lens-4.17.1,Control.Lens.Internal.Exception,Desugar,5.11,3.118
lens-4.17.1,Control.Lens.Internal.Exception,Parser,2.43,8.015
