package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Exception.Lens,CodeGen,320.85,476.771
lens-4.17.1,Control.Exception.Lens,CorePrep,11.69,19.303
lens-4.17.1,Control.Exception.Lens,CoreTidy,9.17,11.463
lens-4.17.1,Control.Exception.Lens,Desugar,16.93,24.457
lens-4.17.1,Control.Exception.Lens,Parser,9.38,31.521
lens-4.17.1,Control.Exception.Lens,Simplifier,540,648.263
lens-4.17.1,Control.Exception.Lens,SpecConstr,2.39,4.228
lens-4.17.1,Control.Exception.Lens,Specialise,3.18,5.788
lens-4.17.1,Control.Lens,CodeGen,1.2,0.529
lens-4.17.1,Control.Lens,CorePrep,0.38,0.122
lens-4.17.1,Control.Lens,CoreTidy,0.2,0.085
lens-4.17.1,Control.Lens,Desugar,0.95,0.693
lens-4.17.1,Control.Lens,Parser,1.08,4.427
lens-4.17.1,Control.Lens,Simplifier,1.7999999999999998,0.96
lens-4.17.1,Control.Lens,SpecConstr,0.14,0.059
lens-4.17.1,Control.Lens,Specialise,0.16,0.063
lens-4.17.1,Control.Lens.At,CodeGen,257.69,423.245
lens-4.17.1,Control.Lens.At,CorePrep,16.4,25.053
lens-4.17.1,Control.Lens.At,CoreTidy,7.84,9.771
lens-4.17.1,Control.Lens.At,Desugar,19.37,25.782
lens-4.17.1,Control.Lens.At,Parser,6.57,21.528
lens-4.17.1,Control.Lens.At,Simplifier,845.05,957.1599999999999
lens-4.17.1,Control.Lens.At,SpecConstr,4.59,8.166
lens-4.17.1,Control.Lens.At,Specialise,2.32,3.318
lens-4.17.1,Control.Lens.Combinators,CodeGen,1.1800000000000002,0.5589999999999999
lens-4.17.1,Control.Lens.Combinators,CorePrep,0.33999999999999997,0.122
lens-4.17.1,Control.Lens.Combinators,CoreTidy,0.2,0.085
lens-4.17.1,Control.Lens.Combinators,Desugar,0.93,0.612
lens-4.17.1,Control.Lens.Combinators,Parser,1.45,5.517
lens-4.17.1,Control.Lens.Combinators,Simplifier,1.6799999999999997,0.956
lens-4.17.1,Control.Lens.Combinators,SpecConstr,0.13,0.059
lens-4.17.1,Control.Lens.Combinators,Specialise,0.15,0.063
lens-4.17.1,Control.Lens.Cons,CodeGen,367.88,574.211
lens-4.17.1,Control.Lens.Cons,CorePrep,19.75,36.286
lens-4.17.1,Control.Lens.Cons,CoreTidy,10.38,11.309
lens-4.17.1,Control.Lens.Cons,Desugar,9.64,11.835
lens-4.17.1,Control.Lens.Cons,Parser,4.73,15.321
lens-4.17.1,Control.Lens.Cons,Simplifier,1234.26,1371.341
lens-4.17.1,Control.Lens.Cons,SpecConstr,9.8,17.593
lens-4.17.1,Control.Lens.Cons,Specialise,2.27,3.51
lens-4.17.1,Control.Lens.Each,CodeGen,219.01,359.91999999999996
lens-4.17.1,Control.Lens.Each,CorePrep,10.260000000000002,17.636000000000003
lens-4.17.1,Control.Lens.Each,CoreTidy,5.39,7.583
lens-4.17.1,Control.Lens.Each,Desugar,72.66,111.915
lens-4.17.1,Control.Lens.Each,Parser,3.91,12.788
lens-4.17.1,Control.Lens.Each,Simplifier,379.97,483.2900000000001
lens-4.17.1,Control.Lens.Each,SpecConstr,3.27,5.926
lens-4.17.1,Control.Lens.Each,Specialise,1.52,2.641
lens-4.17.1,Control.Lens.Empty,CodeGen,175.53,244.607
lens-4.17.1,Control.Lens.Empty,CorePrep,6.09,9.155999999999999
lens-4.17.1,Control.Lens.Empty,CoreTidy,4.15,5.015
lens-4.17.1,Control.Lens.Empty,Desugar,5.75,7.66
lens-4.17.1,Control.Lens.Empty,Parser,2.87,8.856
lens-4.17.1,Control.Lens.Empty,Simplifier,287.42999999999995,350.188
lens-4.17.1,Control.Lens.Empty,SpecConstr,1.2,2.29
lens-4.17.1,Control.Lens.Empty,Specialise,1.99,2.502
lens-4.17.1,Control.Lens.Equality,CodeGen,7.109999999999999,6.743
lens-4.17.1,Control.Lens.Equality,CorePrep,0.78,0.587
lens-4.17.1,Control.Lens.Equality,CoreTidy,0.6,0.508
lens-4.17.1,Control.Lens.Equality,Desugar,2.22,1.299
lens-4.17.1,Control.Lens.Equality,Parser,1.61,5.656
lens-4.17.1,Control.Lens.Equality,Simplifier,13.120000000000001,15.136000000000003
lens-4.17.1,Control.Lens.Equality,SpecConstr,0.26,0.245
lens-4.17.1,Control.Lens.Equality,Specialise,0.35,0.347
lens-4.17.1,Control.Lens.Extras,CodeGen,2.77,2.135
lens-4.17.1,Control.Lens.Extras,CorePrep,0.44,0.206
lens-4.17.1,Control.Lens.Extras,CoreTidy,0.25,0.148
lens-4.17.1,Control.Lens.Extras,Desugar,0.41,0.173
lens-4.17.1,Control.Lens.Extras,Parser,0.23,0.449
lens-4.17.1,Control.Lens.Extras,Simplifier,2.9699999999999998,2.6089999999999995
lens-4.17.1,Control.Lens.Extras,SpecConstr,0.14,0.087
lens-4.17.1,Control.Lens.Extras,Specialise,0.16,0.078
lens-4.17.1,Control.Lens.Fold,CodeGen,461.39,354.945
lens-4.17.1,Control.Lens.Fold,CorePrep,14.17,15.009
lens-4.17.1,Control.Lens.Fold,CoreTidy,7.66,7.527
lens-4.17.1,Control.Lens.Fold,Desugar,41.5,43.544
lens-4.17.1,Control.Lens.Fold,Parser,20.86,61.08
lens-4.17.1,Control.Lens.Fold,Simplifier,493.46000000000004,566.9399999999999
lens-4.17.1,Control.Lens.Fold,SpecConstr,1.55,3.111
lens-4.17.1,Control.Lens.Fold,Specialise,5.98,3.489
lens-4.17.1,Control.Lens.Getter,CodeGen,35.2,48.876999999999995
lens-4.17.1,Control.Lens.Getter,CorePrep,1.9,2.271
lens-4.17.1,Control.Lens.Getter,CoreTidy,1.21,1.341
lens-4.17.1,Control.Lens.Getter,Desugar,5.45,6.913
lens-4.17.1,Control.Lens.Getter,Parser,4.05,13.927
lens-4.17.1,Control.Lens.Getter,Simplifier,32.49,42.291000000000004
lens-4.17.1,Control.Lens.Getter,SpecConstr,0.35,0.531
lens-4.17.1,Control.Lens.Getter,Specialise,0.41,0.549
lens-4.17.1,Control.Lens.Indexed,CodeGen,1507.74,2350.5600000000004
lens-4.17.1,Control.Lens.Indexed,CorePrep,71.99000000000001,110.83500000000001
lens-4.17.1,Control.Lens.Indexed,CoreTidy,40.26,44.308
lens-4.17.1,Control.Lens.Indexed,Desugar,86.45,99.221
lens-4.17.1,Control.Lens.Indexed,Parser,13.94,42.534
lens-4.17.1,Control.Lens.Indexed,Simplifier,4397.23,4770.447
lens-4.17.1,Control.Lens.Indexed,SpecConstr,20.06,33.849
lens-4.17.1,Control.Lens.Indexed,Specialise,16.38,26.582
lens-4.17.1,Control.Lens.Internal,CodeGen,1.26,0.556
lens-4.17.1,Control.Lens.Internal,CorePrep,0.37,0.122
lens-4.17.1,Control.Lens.Internal,CoreTidy,0.21,0.085
lens-4.17.1,Control.Lens.Internal,Desugar,0.83,0.256
lens-4.17.1,Control.Lens.Internal,Parser,1.47,3.909
lens-4.17.1,Control.Lens.Internal,Simplifier,1.6399999999999997,0.8759999999999999
lens-4.17.1,Control.Lens.Internal,SpecConstr,0.14,0.059
lens-4.17.1,Control.Lens.Internal,Specialise,0.14,0.063
lens-4.17.1,Control.Lens.Internal.Bazaar,CodeGen,291.52,395.731
lens-4.17.1,Control.Lens.Internal.Bazaar,CorePrep,16.6,22.891
lens-4.17.1,Control.Lens.Internal.Bazaar,CoreTidy,11.94,15.502
lens-4.17.1,Control.Lens.Internal.Bazaar,Desugar,31.16,33.195
lens-4.17.1,Control.Lens.Internal.Bazaar,Parser,5.73,15.69
lens-4.17.1,Control.Lens.Internal.Bazaar,Simplifier,749.7599999999999,672.951
lens-4.17.1,Control.Lens.Internal.Bazaar,SpecConstr,3.09,5.953
lens-4.17.1,Control.Lens.Internal.Bazaar,Specialise,2.8,4.426
lens-4.17.1,Control.Lens.Internal.ByteString,CodeGen,87.43,133.079
lens-4.17.1,Control.Lens.Internal.ByteString,CorePrep,4.34,6.795
lens-4.17.1,Control.Lens.Internal.ByteString,CoreTidy,2.4,2.774
lens-4.17.1,Control.Lens.Internal.ByteString,Desugar,17.54,26.897
lens-4.17.1,Control.Lens.Internal.ByteString,Parser,3.76,12.835
lens-4.17.1,Control.Lens.Internal.ByteString,Simplifier,188.98000000000002,239.304
lens-4.17.1,Control.Lens.Internal.ByteString,SpecConstr,1.49,2.389
lens-4.17.1,Control.Lens.Internal.ByteString,Specialise,8.55,1.359
lens-4.17.1,Control.Lens.Internal.CTypes,CodeGen,1.42,0.615
lens-4.17.1,Control.Lens.Internal.CTypes,CorePrep,0.41000000000000003,0.122
lens-4.17.1,Control.Lens.Internal.CTypes,CoreTidy,3.37,2.491
lens-4.17.1,Control.Lens.Internal.CTypes,Desugar,0.39,0.114
lens-4.17.1,Control.Lens.Internal.CTypes,Parser,0.14,0.425
lens-4.17.1,Control.Lens.Internal.CTypes,Simplifier,1.6199999999999999,0.8719999999999999
lens-4.17.1,Control.Lens.Internal.CTypes,SpecConstr,0.14,0.059
lens-4.17.1,Control.Lens.Internal.CTypes,Specialise,0.17,0.063
lens-4.17.1,Control.Lens.Internal.Coerce,CodeGen,3.2800000000000002,1.7850000000000001
lens-4.17.1,Control.Lens.Internal.Coerce,CorePrep,0.4,0.178
lens-4.17.1,Control.Lens.Internal.Coerce,CoreTidy,0.23,0.125
lens-4.17.1,Control.Lens.Internal.Coerce,Desugar,0.95,0.396
lens-4.17.1,Control.Lens.Internal.Coerce,Parser,1.27,4.028
lens-4.17.1,Control.Lens.Internal.Coerce,Simplifier,2.88,2.104
lens-4.17.1,Control.Lens.Internal.Coerce,SpecConstr,0.16,0.078
lens-4.17.1,Control.Lens.Internal.Coerce,Specialise,0.18,0.087
lens-4.17.1,Control.Lens.Internal.Context,CodeGen,181.44,254.07100000000003
